case,dimension,kind,system,successes,runs,failure_classes,wall_median_s,wall_min_s,wall_max_s,cpu_median_s,peak_rss_median_bytes,response_median_bytes,certificate_median_bytes,metric_median,fallback_runs
S10,space,spectrum,baseline,5,5,None,0.63880620803684,0.6280805829446763,0.652362999971956,0.635748,37797888,37813,33456,1.3945380639073792e-07,0
S10,space,spectrum,A,0,5,unsupported,0.19332420802675188,0.19288200000301003,0.1986481249332428,0.18988299999999997,37437440,10513,0,,0
S10,space,spectrum,B,0,5,unsupported,0.042810041923075914,0.04217249993234873,0.04337750002741814,0.040271999999999995,33701888,0,0,,0
S10,space,spectrum,C,5,5,None,0.37701229099184275,0.37513554212637246,0.3807661251630634,0.37410199999999993,37879808,34759,30954,9.374986691116609e-07,0
S11,space,spectrum,baseline,5,5,None,0.6404462088830769,0.6350063751451671,0.642746000085026,0.636605,37847040,38653,34290,1.3945380639073792e-07,0
S11,space,spectrum,A,0,5,precision_insufficient,4.450314624933526,4.428684541024268,4.497461625142023,4.443791,42762240,180275,88704,4.366535384162369e-05,0
S11,space,spectrum,B,0,5,unsupported,0.04360775020904839,0.04266879218630493,0.054475707933306694,0.040008999999999996,33734656,0,0,,0
S11,space,spectrum,C,5,5,None,0.37961983401328325,0.37742262496612966,0.38267779210582376,0.374662,37879808,35604,31796,9.374986691116609e-07,0
S12,shape,spectrum,baseline,5,5,None,0.1293214161414653,0.1288493750616908,0.13080045906826854,0.126251,37076992,9261,6643,1.1569526873987398e-13,0
S12,shape,spectrum,A,0,5,precision_insufficient,2.5598552499432117,2.5284902090206742,2.566840791841969,2.551849,38862848,40696,19127,1.398702040777966e-05,0
S12,shape,spectrum,B,0,5,unsupported,0.04334670794196427,0.04209254099987447,0.04544687503948808,0.040652999999999995,33701888,0,0,,0
S12,shape,spectrum,C,5,5,None,0.13077954202890396,0.12822887487709522,0.13556012487970293,0.127561,37109760,9755,6643,1.1569526873987398e-13,5
S13,shape,spectrum,baseline,5,5,None,0.14866808312945068,0.14694124995730817,0.15525795798748732,0.145802,37076992,11177,8549,3.8134778292646757e-13,0
S13,shape,spectrum,A,0,5,unsupported,0.16237062495201826,0.16023491695523262,0.1659234578255564,0.159229,37502976,8666,0,,0
S13,shape,spectrum,B,0,5,unsupported,0.04336758307181299,0.04241716698743403,0.04381574993021786,0.040411,33701888,0,0,,0
S13,shape,spectrum,C,5,5,None,0.14946970902383327,0.14773866604082286,0.15352729195728898,0.14642999999999998,37158912,11670,8549,3.8134778292646757e-13,5
S14,zero_crossing,spectrum,baseline,5,5,None,0.1137880829628557,0.11164270783774555,0.12247041705995798,0.110776,37044224,4787,3760,0.0,0
S14,zero_crossing,spectrum,A,5,5,None,0.34291225019842386,0.3417378331068903,0.3464706661179662,0.34024,37896192,19143,8595,1.8626451839254266e-08,0
S14,zero_crossing,spectrum,B,0,5,unsupported,0.04360724985599518,0.043006124906241894,0.04685554117895663,0.040859999999999994,33718272,0,0,,0
S14,zero_crossing,spectrum,C,5,5,None,0.11288204207085073,0.11209504096768796,0.12859850004315376,0.110273,37208064,5281,3760,0.0,5
S15,zero_crossing,spectrum,baseline,5,5,None,0.1307893751654774,0.13023533392697573,0.13538708304986358,0.127956,37109760,7082,6047,0.0,0
S15,zero_crossing,spectrum,A,0,5,unsupported,0.16111179091967642,0.15990875009447336,0.161904291016981,0.158055,37437440,7010,0,,0
S15,zero_crossing,spectrum,B,0,5,unsupported,0.04466958297416568,0.042943833861500025,0.04953866614960134,0.041073,33718272,0,0,,0
S15,zero_crossing,spectrum,C,5,5,None,0.13416145904920995,0.13151575019583106,0.13602787512354553,0.129961,37093376,7575,6047,0.0,5
S16,zero_crossing,spectrum,baseline,5,5,None,0.1327532920986414,0.13146970910020173,0.13447304209694266,0.129872,37093376,7094,6059,0.0,0
S16,zero_crossing,spectrum,A,5,5,None,0.33148787496611476,0.3273278339765966,0.334167875116691,0.32873099999999994,37912576,20747,9363,3.725290304501361e-09,0
S16,zero_crossing,spectrum,B,0,5,unsupported,0.044407458044588566,0.04369091708213091,0.04525770805776119,0.041042,33701888,0,0,,0
S16,zero_crossing,spectrum,C,5,5,None,0.1345790831837803,0.12945225019939244,0.13627062505111098,0.13122699999999998,37126144,7587,6059,0.0,5
S17,objective_control,approximation,baseline,5,5,None,0.04626587498933077,0.04566841712221503,0.04700900008901954,0.043116,34095104,4355,3759,6.00410864137757e-07,0
S17,objective_control,approximation,A,0,5,unsupported,0.09580191690474749,0.09465495799668133,0.09706249996088445,0.092171,37240832,1049,0,,0
S17,objective_control,approximation,B,0,5,unsupported,0.04400412505492568,0.04292683303356171,0.04684854205697775,0.040735999999999994,33701888,0,0,,0
S17,objective_control,approximation,C,5,5,None,0.0488218329846859,0.04747095890343189,0.05222466681152582,0.045189999999999994,34242560,4834,3759,6.00410864137757e-07,5
S18,objective_control,approximation,baseline,5,5,None,0.054340792121365666,0.0535797078628093,0.05601349985226989,0.051245,34095104,28438,27840,5.980187012255556e-09,0
S18,objective_control,approximation,A,0,5,unsupported,0.09569462505169213,0.09454425005242229,0.09713108418509364,0.09250299999999999,37240832,1049,0,,0
S18,objective_control,approximation,B,0,5,unsupported,0.04323045816272497,0.04257466713897884,0.045396249974146485,0.040398,33718272,0,0,,0
S18,objective_control,approximation,C,5,5,None,0.05584729090332985,0.05451045813970268,0.057427417021244764,0.05295799999999999,34308096,28917,27840,5.980187012255556e-09,5
